City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Arzgir,RU,45.3728,44.2206,52.38,79,100,4.38,overcast clouds
289,Santos,BR,-23.9608,-46.3336,71.01,26,100,1.99,light rain
290,Tromso,NO,69.6496,18.957,32.0,74,75,3.44,light snow
291,Tsiroanomandidy,MG,-18.7667,46.0333,65.71,93,100,3.09,overcast clouds
292,Fort Nelson,CA,58.8053,-122.7002,32.0,43,75,11.5,broken clouds
293,Port Hardy,CA,50.6996,-127.4199,55.4,47,75,14.97,broken clouds
294,Longhua,CN,23.6137,114.1919,79.97,62,0,2.71,clear sky
295,Columbus,US,39.9612,-82.9988,37.99,93,75,8.05,broken clouds
296,Tommot,RU,58.9564,126.2925,29.52,65,100,11.83,overcast clouds
297,Mount Gambier,AU,-37.8333,140.7667,59.0,67,75,16.11,broken clouds
298,Smidovich,RU,48.6,133.8167,61.97,26,0,8.39,clear sky
299,Sur,OM,22.5667,59.5289,84.0,40,0,3.53,clear sky
300,Bilma,NE,18.6853,12.9164,83.62,11,4,9.53,clear sky
301,Nishihara,JP,26.1842,127.7558,69.8,88,75,17.27,broken clouds
302,Saskylakh,RU,71.9167,114.0833,8.29,88,100,9.35,overcast clouds
303,Limon,CR,10.0,-83.0333,80.6,83,75,9.22,broken clouds
304,Asfi,MA,32.2994,-9.2372,60.46,81,68,9.53,broken clouds
305,Thio,NC,-21.6167,166.2167,78.8,73,90,8.05,overcast clouds
306,Barra Do Garcas,BR,-15.89,-52.2567,70.47,64,0,2.33,clear sky
307,Malazgirt,TR,39.1427,42.5401,55.0,67,98,5.21,overcast clouds
308,Copalnic Manastur,RO,47.5,23.6833,46.4,87,75,4.61,broken clouds
309,Thohoyandou,ZA,-22.9456,30.485,56.88,71,0,2.42,clear sky
310,Mankono,CI,8.0586,-6.1897,75.61,78,78,4.65,broken clouds
311,Plettenberg Bay,ZA,-34.0527,23.3716,65.89,92,98,7.45,overcast clouds
312,Ullapool,GB,57.8987,-5.1604,35.01,70,100,1.01,overcast clouds
313,Ust-Kulom,RU,61.6864,53.6902,42.58,63,100,10.45,overcast clouds
314,Namtsy,RU,62.7161,129.6658,23.0,50,0,4.47,clear sky
315,Monkey Bay,MW,-14.0728,34.9201,70.63,84,100,15.28,overcast clouds
316,Teahupoo,PF,-17.8333,-149.2667,86.0,54,75,6.91,light rain
317,Bandarbeyla,SO,9.4942,50.8122,81.14,81,15,3.76,light rain
318,Bambanglipuro,ID,-7.95,110.2833,79.86,73,34,4.07,scattered clouds
319,Baton Rouge,US,30.4508,-91.1545,57.99,44,1,5.75,clear sky
320,New Iberia,US,30.0035,-91.8187,59.0,47,1,8.05,clear sky
321,Manzanillo,CU,20.3433,-77.1167,78.37,76,58,6.71,broken clouds
322,Chuchkovo,RU,54.2693,41.4465,41.32,93,99,10.38,light rain
323,Klaksvik,FO,62.2266,-6.589,41.0,87,75,8.05,broken clouds
324,Carballo,ES,43.213,-8.691,53.01,92,100,3.11,overcast clouds
325,Yeniseysk,RU,58.4497,92.1703,24.57,88,83,1.95,broken clouds
326,Burnie,AU,-41.0667,145.9167,55.99,65,51,15.01,broken clouds
327,Mandalgovi,MN,45.7625,106.2708,43.45,36,0,16.08,clear sky
328,Abu Kamal,SY,34.4506,40.9171,72.7,24,100,13.22,overcast clouds
329,San Jeronimo,PE,-11.9472,-75.2829,50.16,84,100,2.86,overcast clouds
330,Kirakira,SB,-10.4544,161.9205,85.59,72,100,9.53,overcast clouds
331,Tazovskiy,RU,67.4667,78.7,29.57,94,100,12.39,overcast clouds
332,Newport,GB,51.5877,-2.9984,44.01,71,15,10.83,few clouds
333,Saint-Joseph,RE,-21.3667,55.6167,77.0,78,75,9.22,broken clouds
334,Fallon,US,39.4735,-118.7774,68.0,9,20,11.5,few clouds
335,Anadyr,RU,64.75,177.4833,17.6,86,0,8.95,clear sky
336,Tanete,ID,-3.9443,119.7848,83.01,68,100,4.07,overcast clouds
337,Revelstoke,CA,50.9832,-118.2023,64.4,32,75,4.61,broken clouds
338,Morristown,US,36.214,-83.2949,39.2,52,90,4.61,overcast clouds
339,Gerash,IR,27.6652,54.1371,68.0,37,0,2.19,clear sky
340,San Juan De Colon,VE,8.0313,-72.2605,80.6,69,40,2.3,scattered clouds
341,Kenai,US,60.5544,-151.2583,57.2,47,1,10.36,clear sky
342,Amapa,BR,1.0,-52.0,72.18,98,100,2.21,overcast clouds
343,Mayskiy,RU,47.6931,40.1025,44.6,100,40,4.47,fog
344,Sciacca,IT,37.5082,13.0881,60.01,61,100,8.99,overcast clouds
345,Seymchan,RU,62.8833,152.4333,30.92,94,98,4.38,overcast clouds
346,Bagrami,AF,34.4938,69.2743,53.6,35,20,11.5,few clouds
